Year,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season,Finals_Team
2018,Miami Heat,44,38,0.537,103.4,102.9,0.15,Y,N,N
2018,Milwaukee Bucks,44,38,0.537,106.5,106.8,-0.45,Y,N,N
2018,Minnesota Timberwolves,47,35,0.573,109.5,107.3,2.35,Y,N,N
2018,New Orleans Pelicans,48,34,0.585,111.7,110.4,1.48,Y,N,N
2018,New York Knicks,29,53,0.354,104.5,108,-3.53,N,Y,N
2018,Oklahoma City Thunder,48,34,0.585,107.9,104.4,3.42,Y,N,N
2018,Orlando Magic,25,57,0.305,103.4,108.2,-4.92,N,Y,N
2018,Philadelphia 76ers,52,30,0.634,109.8,105.3,4.3,Y,N,N
2018,Phoenix Suns,21,61,0.256,103.9,113.3,-8.8,N,Y,N
2018,Portland Trail Blazers,49,33,0.598,105.6,103,2.6,Y,N,N
2018,Sacramento Kings,27,55,0.329,98.8,105.8,-6.6,N,Y,N
2018,San Antonio Spurs,47,35,0.573,102.7,99.8,2.89,Y,N,N
2018,Toronto Raptors,59,23,0.72,111.7,103.9,7.29,Y,N,N
2018,Utah Jazz,48,34,0.585,104.1,99.8,4.47,Y,N,N
2018,Washington Wizards,43,39,0.524,106.6,106,0.53,Y,N,N
2017,Atlanta Hawks,43,39,0.524,103.2,104,-1.23,Y,N,N
2017,Boston Celtics,53,29,0.646,108,105.4,2.25,Y,N,N
2017,Brooklyn Nets,20,62,0.244,105.8,112.5,-6.74,N,Y,N
2017,Charlotte Hornets,36,46,0.439,104.9,104.7,-0.07,N,Y,N
2017,Chicago Bulls,41,41,0.5,102.9,102.4,0.03,Y,N,N
2017,Cleveland Cavaliers,51,31,0.622,110.3,107.2,2.87,Y,N,Y
2017,Dallas Mavericks,33,49,0.402,97.9,100.8,-2.53,N,Y,N
2017,Denver Nuggets,40,42,0.488,111.7,111.2,0.7,N,Y,N
2017,Detroit Pistons,37,45,0.451,101.3,102.5,-1.29,N,Y,N
2017,Golden State Warriors,67,15,0.817,115.9,104.3,11.35,Y,N,Y
2017,Houston Rockets,55,27,0.671,115.3,109.6,5.84,Y,N,N
2017,Indiana Pacers,42,40,0.512,105.1,105.3,-0.64,Y,N,N
2017,Los Angeles Clippers,51,31,0.622,108.7,104.4,4.42,Y,N,N
2017,Los Angeles Lakers,26,56,0.317,104.6,111.5,-6.29,N,Y,N
2017,Memphis Grizzlies,43,39,0.524,100.5,100,0.96,Y,N,N
2017,Miami Heat,41,41,0.5,103.2,102.1,0.77,N,N,N
2017,Milwaukee Bucks,42,40,0.512,103.6,103.8,-0.45,Y,N,N
2017,Minnesota Timberwolves,31,51,0.378,105.6,106.7,-0.64,N,Y,N
2017,New Orleans Pelicans,34,48,0.415,104.3,106.4,-1.69,N,Y,N
2017,New York Knicks,31,51,0.378,104.3,108,-3.87,N,Y,N
2017,Oklahoma City Thunder,47,35,0.573,106.6,105.8,1.14,Y,N,N
2017,Orlando Magic,29,53,0.354,101.1,107.6,-6.61,N,Y,N
2017,Philadelphia 76ers,28,54,0.341,102.4,108.1,-5.83,N,Y,N
2017,Phoenix Suns,24,58,0.293,107.7,113.3,-5.14,N,Y,N
2017,Portland Trail Blazers,41,41,0.5,107.9,108.5,-0.23,Y,N,N
2017,Sacramento Kings,32,50,0.39,102.8,106.7,-3.29,N,Y,N
2017,San Antonio Spurs,61,21,0.744,105.3,98.1,7.13,Y,N,N
2017,Toronto Raptors,51,31,0.622,106.9,102.6,3.65,Y,N,N
2017,Utah Jazz,51,31,0.622,100.7,96.8,4,Y,N,N
2017,Washington Wizards,49,33,0.598,109.2,107.4,1.36,Y,N,N
2016,Atlanta Hawks,48,34,0.585,102.8,99.2,3.49,Y,N,N
2016,Boston Celtics,48,34,0.585,105.7,102.5,2.84,Y,N,N
2016,Brooklyn Nets,21,61,0.256,98.6,106,-7.12,N,Y,N
2016,Charlotte Hornets,48,34,0.585,103.4,100.7,2.36,Y,N,N
2016,Chicago Bulls,42,40,0.512,101.6,103.1,-1.46,N,N,N
2016,Cleveland Cavaliers,57,25,0.695,104.3,98.3,5.45,Y,N,Y
2016,Dallas Mavericks,42,40,0.512,102.3,102.6,-0.02,Y,N,N
2016,Denver Nuggets,33,49,0.402,101.9,105,-2.81,N,Y,N
2016,Detroit Pistons,44,38,0.537,102,101.4,0.43,Y,N,N
2016,Golden State Warriors,73,9,0.89,114.9,104.1,10.38,Y,N,Y
2016,Houston Rockets,41,41,0.5,106.5,106.4,0.34,Y,N,N
2016,Indiana Pacers,45,37,0.549,102.2,100.5,1.62,Y,N,N
2016,Los Angeles Clippers,53,29,0.646,104.5,100.2,4.13,Y,N,N
2016,Los Angeles Lakers,17,65,0.207,97.3,106.9,-8.92,N,Y,N
2016,Memphis Grizzlies,42,40,0.512,99.1,101.3,-2.14,Y,N,N
2016,Miami Heat,48,34,0.585,100,98.4,1.5,Y,N,N
2016,Milwaukee Bucks,33,49,0.402,99,103.2,-3.98,N,Y,N
2016,Minnesota Timberwolves,29,53,0.354,102.4,106,-3.38,N,Y,N
2016,New Orleans Pelicans,30,52,0.366,102.7,106.5,-3.56,N,Y,N
2016,New York Knicks,32,50,0.39,98.4,101.1,-2.74,N,Y,N
2016,Oklahoma City Thunder,55,27,0.671,110.2,102.9,7.09,Y,N,N
2016,Orlando Magic,35,47,0.427,102.1,103.7,-1.68,N,Y,N
2016,Philadelphia 76ers,10,72,0.122,97.4,107.6,-9.92,N,Y,N
2016,Phoenix Suns,23,59,0.28,100.9,107.5,-6.32,N,Y,N
2016,Portland Trail Blazers,44,38,0.537,105.1,104.3,0.98,Y,N,N
2016,Sacramento Kings,33,49,0.402,106.6,109.1,-2.32,N,Y,N
2016,San Antonio Spurs,67,15,0.817,103.5,92.9,10.28,Y,N,N
2016,Toronto Raptors,56,26,0.683,102.7,98.2,4.08,Y,N,N
2016,Utah Jazz,40,42,0.488,97.7,95.9,1.84,N,Y,N
2016,Washington Wizards,41,41,0.5,104.1,104.6,-0.5,N,N,N
2015,Atlanta Hawks,60,22,0.732,102.5,97.1,4.75,Y,N,N
2015,Boston Celtics,40,42,0.488,101.4,101.2,-0.4,Y,Y,N
2015,Brooklyn Nets,38,44,0.463,98,100.9,-3.13,Y,Y,N
2015,Charlotte Hornets,33,49,0.402,94.2,97.3,-3.44,N,Y,N
2015,Chicago Bulls,50,32,0.61,100.8,97.8,2.54,Y,N,N
2015,Cleveland Cavaliers,53,29,0.646,103.1,98.7,4.08,Y,N,Y
2015,Dallas Mavericks,50,32,0.61,105.2,102.3,3.36,Y,N,N
2015,Denver Nuggets,30,52,0.366,101.5,105,-3.07,N,Y,N
2015,Detroit Pistons,32,50,0.39,98.5,99.5,-1.39,N,Y,N
2015,Golden State Warriors,67,15,0.817,110,99.9,10.01,Y,N,Y
2015,Houston Rockets,56,26,0.683,103.9,100.5,3.82,Y,N,N
2015,Indiana Pacers,38,44,0.463,97.3,97,-0.23,N,Y,N
2015,Los Angeles Clippers,56,26,0.683,106.7,100.1,6.8,Y,N,N
2015,Los Angeles Lakers,21,61,0.256,98.5,105.3,-6.17,N,Y,N
2015,Memphis Grizzlies,55,27,0.671,98.3,95.1,3.62,Y,N,N
2015,Miami Heat,37,45,0.451,94.7,97.3,-2.92,N,Y,N
2015,Milwaukee Bucks,41,41,0.5,97.8,97.4,-0.09,Y,N,N
2015,Minnesota Timberwolves,16,66,0.195,97.8,106.5,-8,N,Y,N
2015,New Orleans Pelicans,45,37,0.549,99.4,98.6,1.13,Y,N,N
2015,New York Knicks,17,65,0.207,91.9,101.2,-9.5,N,Y,N
2015,Oklahoma City Thunder,45,37,0.549,104,101.8,2.47,N,N,N
2015,Orlando Magic,25,57,0.305,95.7,101.4,-5.87,N,Y,N
2015,Philadelphia 76ers,18,64,0.22,92,101,-9.04,N,Y,N
2015,Phoenix Suns,39,43,0.476,102.4,103.3,-0.38,N,Y,N
2015,Portland Trail Blazers,51,31,0.622,102.8,98.6,4.41,Y,N,N
2015,Sacramento Kings,29,53,0.354,101.3,105,-3.07,N,Y,N
2015,San Antonio Spurs,55,27,0.671,103.2,97,6.34,Y,N,N
2015,Toronto Raptors,49,33,0.598,104,100.9,2.45,Y,N,N
2015,Utah Jazz,38,44,0.463,95.1,94.9,0.71,N,Y,N
2015,Washington Wizards,46,36,0.561,98.5,97.8,0.17,Y,N,N
2014,Atlanta Hawks,38,44,0.463,101,101.5,-0.88,Y,Y,N
2014,Boston Celtics,25,57,0.305,96.2,100.7,-4.97,N,Y,N
2014,Brooklyn Nets,44,38,0.537,98.5,99.5,-1.58,Y,N,N
2014,Charlotte Bobcats,43,39,0.524,96.9,97.1,-0.89,Y,N,N
2014,Chicago Bulls,48,34,0.585,93.7,91.8,1.2,Y,N,N
2014,Cleveland Cavaliers,33,49,0.402,98.2,101.5,-3.86,N,Y,N
2014,Dallas Mavericks,49,33,0.598,104.8,102.4,2.91,Y,N,N
2014,Denver Nuggets,36,46,0.439,104.4,106.5,-1.4,N,Y,N
2014,Detroit Pistons,29,53,0.354,101,104.7,-4.13,N,Y,N
2014,Golden State Warriors,51,31,0.622,104.3,99.5,5.15,Y,N,N
2014,Houston Rockets,54,28,0.659,107.7,103.1,5.06,Y,N,N
2014,Indiana Pacers,56,26,0.683,96.7,92.3,3.63,Y,N,N
2014,Los Angeles Clippers,57,25,0.695,107.9,101,7.27,Y,N,N
2014,Los Angeles Lakers,27,55,0.329,103,109.2,-5.33,N,Y,N
2014,Memphis Grizzlies,50,32,0.61,96.1,94.6,2.18,Y,N,N
2014,Miami Heat,54,28,0.659,102.2,97.4,4.15,Y,N,Y
2014,Milwaukee Bucks,15,67,0.183,95.5,103.7,-8.41,N,Y,N
2014,Minnesota Timberwolves,40,42,0.488,106.9,104.3,3.1,N,Y,N
2014,New Orleans Pelicans,34,48,0.415,99.7,102.4,-1.98,N,Y,N
2014,New York Knicks,37,45,0.451,98.6,99.4,-1.4,N,Y,N
2014,Oklahoma City Thunder,59,23,0.72,106.2,99.8,6.66,Y,N,N
2014,Orlando Magic,23,59,0.28,96.5,102,-5.88,N,Y,N
2014,Philadelphia 76ers,19,63,0.232,99.5,109.9,-10.66,N,Y,N
2014,Phoenix Suns,48,34,0.585,105.2,102.6,3.02,N,N,N
2014,Portland Trail Blazers,54,28,0.659,106.7,102.8,4.44,Y,N,N
2014,Sacramento Kings,28,54,0.341,100.5,103.4,-2.08,N,Y,N
2014,San Antonio Spurs,62,20,0.756,105.4,97.6,8,Y,N,Y
2014,Toronto Raptors,48,34,0.585,101.3,98,2.55,Y,N,N
2014,Utah Jazz,25,57,0.305,95,102.2,-6.27,N,Y,N
2014,Washington Wizards,44,38,0.537,100.7,99.4,0.48,Y,N,N
2013,Atlanta Hawks,44,38,0.537,98,97.5,-0.08,Y,N,N
2013,Boston Celtics,41,40,0.506,96.5,96.7,-0.62,Y,N,N
2013,Brooklyn Nets,49,33,0.598,96.9,95.1,1.25,Y,N,N
2013,Charlotte Bobcats,21,61,0.256,93.4,102.7,-9.29,N,Y,N
2013,Chicago Bulls,45,37,0.549,93.2,92.9,-0.02,Y,N,N
2013,Cleveland Cavaliers,24,58,0.293,96.5,101.2,-4.87,N,Y,N
2013,Dallas Mavericks,41,41,0.5,101.1,101.7,-0.24,N,N,N
2013,Denver Nuggets,57,25,0.695,106.1,101.1,5.37,Y,N,N
2013,Detroit Pistons,29,53,0.354,94.9,98.8,-4.33,N,Y,N
2013,Golden State Warriors,47,35,0.573,101.2,100.3,1.32,Y,N,N
2013,Houston Rockets,45,37,0.549,106,102.5,3.69,Y,N,N
2013,Indiana Pacers,49,32,0.605,94.7,90.7,3.34,Y,N,N
2013,Los Angeles Clippers,56,26,0.683,101.1,94.6,6.43,Y,N,N
2013,Los Angeles Lakers,45,37,0.549,102.2,101,1.48,Y,N,N
2013,Memphis Grizzlies,56,26,0.683,93.4,89.3,4.32,Y,N,N
2013,Miami Heat,66,16,0.805,102.9,95,7.03,Y,N,Y
2013,Milwaukee Bucks,38,44,0.463,98.9,100.4,-1.83,Y,Y,N
2013,Minnesota Timberwolves,31,51,0.378,95.7,98.1,-1.83,N,Y,N
2013,Charlotte Hornets,27,55,0.329,94.1,97.9,-3.12,N,Y,N
2013,New York Knicks,54,28,0.659,100,95.7,3.73,Y,N,N
2013,Oklahoma City Thunder,60,22,0.732,105.7,96.5,9.15,Y,N,N
2013,Orlando Magic,20,62,0.244,94.1,101.1,-7.12,N,Y,N
2013,Philadelphia 76ers,34,48,0.415,93.2,96.5,-3.51,N,Y,N
2013,Phoenix Suns,25,57,0.305,95.2,101.6,-5.75,N,Y,N
2013,Portland Trail Blazers,33,49,0.402,97.5,100.7,-2.53,N,Y,N
2013,Sacramento Kings,28,54,0.341,100.2,105.1,-4.26,N,Y,N
2013,San Antonio Spurs,58,24,0.707,103,96.6,6.67,Y,N,Y
2013,Toronto Raptors,34,48,0.415,97.2,98.7,-1.96,N,Y,N
2013,Utah Jazz,43,39,0.524,98,98.1,0.3,N,N,N
2013,Washington Wizards,29,53,0.354,93.2,95.8,-2.78,N,Y,N
2012,Atlanta Hawks,40,26,0.606,96.6,93.2,2.67,Y,N,N
2012,Boston Celtics,39,27,0.591,91.8,89.3,2.26,Y,N,N
2012,Charlotte Bobcats,7,59,0.106,87,100.9,-13.96,N,Y,N
2012,Chicago Bulls,50,16,0.758,96.3,88.2,7.43,Y,N,N
2012,Cleveland Cavaliers,21,45,0.318,93,100.2,-7.34,N,Y,N
2012,Dallas Mavericks,36,30,0.545,95.8,94.8,1.78,Y,N,N
2012,Denver Nuggets,38,28,0.576,104.1,101.2,3.16,Y,N,N
2012,Detroit Pistons,25,41,0.379,90.9,95.7,-5.19,N,Y,N
2012,Golden State Warriors,23,43,0.348,97.8,101.2,-2.79,N,Y,N
2012,Houston Rockets,34,32,0.515,98.1,97.9,0.57,N,N,N
2012,Indiana Pacers,42,24,0.636,97.7,94.4,2.6,Y,N,N
2012,Los Angeles Clippers,40,26,0.606,97.5,95,2.82,Y,N,N
2012,Los Angeles Lakers,41,25,0.621,97.3,95.9,1.96,Y,N,N
2012,Memphis Grizzlies,41,25,0.621,95,93,2.43,Y,N,N
2012,Miami Heat,46,20,0.697,98.5,92.5,5.72,Y,N,Y
2012,Milwaukee Bucks,31,35,0.47,99,98.7,-0.23,N,Y,N
2012,Minnesota Timberwolves,26,40,0.394,97.9,100.1,-1.83,N,Y,N
2012,Brooklyn Nets,22,44,0.333,93.1,99.1,-6.37,N,Y,N
2012,Charlotte Hornets,21,45,0.318,89.6,93.4,-3.11,N,Y,N
2012,New York Knicks,36,30,0.545,97.8,94.7,2.39,Y,N,N
2012,Oklahoma City Thunder,47,19,0.712,103.1,96.9,6.44,Y,N,Y
2012,Orlando Magic,37,29,0.561,94.2,93.4,0.46,Y,N,N
2012,Philadelphia 76ers,35,31,0.53,93.6,89.4,3.59,Y,N,N
2012,Phoenix Suns,33,33,0.5,98.4,98.6,0.29,N,N,N
2012,Portland Trail Blazers,28,38,0.424,97.2,97.8,-0.22,N,Y,N
2012,Sacramento Kings,22,44,0.333,98.8,104.4,-4.95,N,Y,N
2012,San Antonio Spurs,50,16,0.758,103.7,96.5,7.28,Y,N,N
2012,Toronto Raptors,23,43,0.348,90.7,94,-3.67,N,Y,N
2012,Utah Jazz,36,30,0.545,99.7,99,0.92,Y,N,N
2012,Washington Wizards,20,46,0.303,93.6,98.4,-5.14,N,Y,N
2011,Atlanta Hawks,44,38,0.537,95,95.8,-1.1,Y,N,N
2011,Boston Celtics,56,26,0.683,96.5,91.1,4.83,Y,N,N
2011,Charlotte Bobcats,34,48,0.415,93.3,97.3,-4.08,N,Y,N
2011,Chicago Bulls,62,20,0.756,98.6,91.3,6.53,Y,N,N
2011,Cleveland Cavaliers,19,63,0.232,95.5,104.5,-8.88,N,Y,N
2011,Dallas Mavericks,57,25,0.695,100.2,96,4.41,Y,N,Y
2011,Denver Nuggets,50,32,0.61,107.5,102.7,4.81,Y,N,N
2011,Detroit Pistons,30,52,0.366,97,100.6,-3.78,N,Y,N
2011,Golden State Warriors,36,46,0.439,103.4,105.7,-2,N,Y,N
2011,Houston Rockets,43,39,0.524,105.9,103.7,2.37,N,N,N
2011,Indiana Pacers,37,45,0.451,99.8,100.9,-1.38,Y,Y,N
2011,Los Angeles Clippers,32,50,0.39,98.6,101.8,-2.71,N,Y,N
2011,Los Angeles Lakers,57,25,0.695,101.5,95.4,6.01,Y,N,N
2011,Memphis Grizzlies,46,36,0.561,99.9,97.6,2.55,Y,N,N
2011,Miami Heat,58,24,0.707,102.1,94.6,6.76,Y,N,Y
2011,Milwaukee Bucks,35,47,0.427,91.9,92.7,-1.02,N,Y,N
2011,Minnesota Timberwolves,17,65,0.207,101.1,107.7,-5.97,N,Y,N
2011,Brooklyn Nets,24,58,0.293,94.2,100.4,-6.28,N,Y,N
2011,Charlotte Hornets,46,36,0.561,94.9,94,1.28,Y,N,N
2011,New York Knicks,42,40,0.512,106.5,105.7,0.48,Y,N,N
2011,Oklahoma City Thunder,55,27,0.671,104.8,101,3.81,Y,N,N
2011,Orlando Magic,52,30,0.634,99.2,93.7,4.92,Y,N,N
2011,Philadelphia 76ers,41,41,0.5,99,97.5,1.01,Y,N,N
2011,Phoenix Suns,40,42,0.488,105,105.9,-0.46,N,Y,N
2011,Portland Trail Blazers,48,34,0.585,96.3,94.8,1.85,Y,N,N
2011,Sacramento Kings,24,58,0.293,99.4,104.7,-4.8,N,Y,N
2011,San Antonio Spurs,61,21,0.744,103.7,98,5.86,Y,N,N
2011,Toronto Raptors,22,60,0.268,99.1,105.4,-6.28,N,Y,N
2011,Utah Jazz,39,43,0.476,99.4,101.3,-1.44,N,Y,N
2011,Washington Wizards,23,59,0.28,97.3,104.7,-7.3,N,Y,N
2010,Atlanta Hawks,53,29,0.646,101.7,97,4.44,Y,N,N
2010,Boston Celtics,50,32,0.61,99.2,95.6,3.37,Y,N,Y
2010,Charlotte Bobcats,44,38,0.537,95.3,93.8,1.3,Y,N,N
2010,Chicago Bulls,41,41,0.5,97.5,99.1,-1.64,Y,N,N
2010,Cleveland Cavaliers,61,21,0.744,102.1,95.6,6.17,Y,N,N
2010,Dallas Mavericks,55,27,0.671,102,99.3,2.66,Y,N,N
2010,Denver Nuggets,53,29,0.646,106.5,102.4,4.15,Y,N,N
2010,Detroit Pistons,27,55,0.329,94,99.1,-5.02,N,Y,N
2010,Golden State Warriors,26,56,0.317,108.8,112.4,-3.28,N,Y,N
2010,Houston Rockets,42,40,0.512,102.4,102.7,-0.02,N,N,N
2010,Indiana Pacers,32,50,0.39,100.8,103.8,-3.11,N,Y,N
2010,Los Angeles Clippers,29,53,0.354,95.7,102.1,-6.01,N,Y,N
2010,Los Angeles Lakers,57,25,0.695,101.7,97,4.78,Y,N,Y
2010,Memphis Grizzlies,40,42,0.488,102.5,104,-1.39,N,Y,N
2010,Miami Heat,47,35,0.573,96.5,94.2,1.99,Y,N,N
2010,Milwaukee Bucks,46,36,0.561,97.7,96,1.37,Y,N,N
2010,Minnesota Timberwolves,15,67,0.183,98.2,107.8,-9.06,N,Y,N
2010,Brooklyn Nets,12,70,0.146,92.4,101.5,-8.93,N,Y,N
2010,Charlotte Hornets,37,45,0.451,100.2,102.7,-2.27,N,Y,N
2010,New York Knicks,29,53,0.354,102.1,105.9,-4.01,N,Y,N
2010,Oklahoma City Thunder,50,32,0.61,101.5,98,3.55,Y,N,N
2010,Orlando Magic,59,23,0.72,102.8,95.3,7.12,Y,N,N
2010,Philadelphia 76ers,27,55,0.329,97.7,101.6,-3.93,N,Y,N
2010,Phoenix Suns,54,28,0.659,110.2,105.3,4.67,Y,N,N
2010,Portland Trail Blazers,50,32,0.61,98.1,94.8,3.18,Y,N,N
2010,Sacramento Kings,25,57,0.305,100,104.4,-4.06,N,Y,N
2010,San Antonio Spurs,50,32,0.61,101.4,96.3,5.07,Y,N,N
2010,Toronto Raptors,40,42,0.488,104.1,105.9,-1.83,N,Y,N
2010,Utah Jazz,53,29,0.646,104.2,98.9,5.33,Y,N,N
2010,Washington Wizards,26,56,0.317,96.2,101,-4.72,N,Y,N
2009,Atlanta Hawks,47,35,0.573,98.1,96.5,1.7,Y,N,N
2009,Boston Celtics,62,20,0.756,100.9,93.4,7.44,Y,N,N
2009,Charlotte Bobcats,35,47,0.427,93.6,94.9,-1.2,N,Y,N
2009,Chicago Bulls,41,41,0.5,102.2,102.5,-0.16,Y,N,N
2009,Cleveland Cavaliers,66,16,0.805,100.3,91.4,8.68,Y,N,N
2009,Dallas Mavericks,50,32,0.61,101.7,99.8,1.68,Y,N,N
2009,Denver Nuggets,54,28,0.659,104.3,100.9,3.13,Y,N,N
2009,Detroit Pistons,39,43,0.476,94.2,94.7,-0.36,Y,Y,N
2009,Golden State Warriors,29,53,0.354,108.6,112.3,-3.8,N,Y,N
2009,Houston Rockets,53,29,0.646,98.4,94.4,3.73,Y,N,N
2009,Indiana Pacers,36,46,0.439,105.1,106.2,-0.76,N,Y,N
2009,Los Angeles Clippers,19,63,0.232,95.1,103.9,-8.47,N,Y,N
2009,Los Angeles Lakers,65,17,0.793,106.9,99.3,7.11,Y,N,Y
2009,Memphis Grizzlies,24,58,0.293,93.9,99.3,-5.23,N,Y,N
2009,Miami Heat,43,39,0.524,98.3,98,0.49,Y,N,N
2009,Milwaukee Bucks,34,48,0.415,99.3,100.4,-0.88,N,Y,N
2009,Minnesota Timberwolves,24,58,0.293,97.8,102.7,-4.74,N,Y,N
2009,Brooklyn Nets,34,48,0.415,98.1,100.5,-2.31,N,Y,N
2009,Charlotte Hornets,49,33,0.598,95.8,94.3,1.41,Y,N,N
2009,New York Knicks,32,50,0.39,105.2,107.8,-2.33,N,Y,N
